"Sex";"fakecode";"fakelat";"fakelong";"PatronType";"PatronID";"EMAI/Venue";"EMAI/Third Patry (i.e. Promoter or Partner)";"PHON/Venue";"PHON/Third Patry (i.e. Promoter or Partner)";"POST/Venue";"POST/Third Patry (i.e. Promoter or Partner)";"SMS/Venue";"SMS/Third Patry (i.e. Promoter or Partner)";"SOCI/Venue";"SOCI/Third Patry (i.e. Promoter or Partner)";"TotalTicketCount"
"M";;"0";"0";"Lapsed Booker";"101972";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N";"6"
;"LA6 1JG";"54.163127118644";"-2.7247161016949155";"Active Booker";"1947";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"6"
"F";"LA1 1PS";"54.049536964980405";"-2.799634241245134";"Student";"105273";"Y";"N";"N";"N";"N";"N";"N";"N";"Y";"N";"6"
;"LA1 1PS";"54.049536964980405";"-2.799634241245134";"Lapsed Booker";"102560";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"6"
"M";"LA1 1PS";"54.049536964980405";"-2.799634241245134";"Active Booker";"103750";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"6"
"M";"LA5 9HG";"54.13781684981692";"-2.7678131868131857";"Regular Booker";"102388";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"6"
"M";"BB7 3AA";"53.910499999999956";"-2.450056603773586";"Regular Booker";"3690";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N";"6"
;"LA6 2BB";"54.20582500000003";"-2.5969083333333347";"Active Booker";"102863";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N";"6"
"F";"LA5 9HG";"54.13781684981692";"-2.7678131868131857";"Active Booker";"105909";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"6"
"M";"LA6 1JG";"54.163127118644";"-2.7247161016949155";"Regular Booker";"4180";"N";"Y";"N";"N";"Y";"Y";"N";"N";"N";"N";"6"
"M";;"0";"0";"Lapsed Booker";"102917";"Y";"N";"Y";"N";"N";"N";"N";"N";"N";"N";"6"
